date,region_id,type_id,average,lowest,highest,volume,order_count
2020-03-30,10000043,33094,100000,100000,100000,3,3
2020-03-30,10000043,33095,3179999.98,2500000,4199999.96,5,4
2020-03-30,10000043,33096,2500000,2500000,2500000,4,4
2020-03-30,10000043,33097,2833000,2500000,3499000,6,6
2020-03-30,10000043,33098,2500000,2500000,2500000,3,3
2020-03-30,10000043,33101,2000000,2000000,2000000,105,36
2020-03-30,10000043,33103,170770.18,96390,796400,57,7
2020-03-30,10000043,33138,1636960,1500000,1992000,25,5
2020-03-30,10000043,33139,2482500,2000000,2965000,4,4
2020-03-30,10000043,33140,20209090.91,19240000,26690000,11,6
2020-03-30,10000043,33141,23258181.82,21500000,27900000,44,10
2020-03-30,10000043,33151,143300000,143300000,143300000,1,1
2020-03-30,10000043,33153,166900000,145100000,177800000,3,3
2020-03-30,10000043,33155,162850000,135700000,190000000,2,2
2020-03-30,10000043,33157,172950000,172900000,173000000,4,4
2020-03-30,10000043,33176,115789.75,65000,119900,40,36
2020-03-30,10000043,33178,108107.62,57780,119800,37,27
2020-03-30,10000043,33180,225000,224900,235800,192,113
2020-03-30,10000043,33195,5000,5000,5000,319,47
2020-03-30,10000043,33197,1414000,1176500,1889000,3,3
2020-03-30,10000043,33199,1576357.14,1070000,2083000,14,9
2020-03-30,10000043,33201,1480907.48,1100528.52,1636000,21,15
2020-03-30,10000043,33270,8000,8000,8000,172,27
2020-03-30,10000043,33271,60000,60000,60000,1,1
2020-03-30,10000043,33272,104500000,19000000,190000000,2,2
2020-03-30,10000043,33297,68990000,68990000,68990000,1,1
2020-03-30,10000043,33330,3586,3586,3586,66,2
2020-03-30,10000043,33332,9106,9106,9106,1917,31
2020-03-30,10000043,33334,37446.61,7310,41740,56,5
2020-03-30,10000043,33337,42000,42000,42000,1800,1
2020-03-30,10000043,33359,19980,19980,19980,5221,3
2020-03-30,10000043,33360,23830,23830,23830,12006,3
2020-03-30,10000043,33361,23998.48,23998.48,23998.48,72,2
2020-03-30,10000043,33362,25970,25970,25970,6393,5
2020-03-30,10000043,33393,317850000,317800000,317900000,2,2
2020-03-30,10000043,33394,304000000,304000000,304000000,2,2
2020-03-30,10000043,33399,5000000,5000000,5000000,4,4
2020-03-30,10000043,33400,5563200,4127000,7718000,5,5
2020-03-30,10000043,33407,36000000,36000000,36000000,1,1
2020-03-30,10000043,33440,113757.38,100,139000,61,20
2020-03-30,10000043,33441,4808.55,2021,8990,15,6
2020-03-30,10000043,33442,243143.14,1001,340000,35,14
2020-03-30,10000043,33448,35717.67,7253,49950,15,2
2020-03-30,10000043,33450,3188000,3188000,3188000,106,21
2020-03-30,10000043,33453,120000000,120000000,120000000,4,3
2020-03-30,10000043,33466,3000.31,3000,3001,13,6
2020-03-30,10000043,33467,3224855.75,3000000,3337283.62,3,3
2020-03-30,10000043,33468,66726340.91,58280000,69620000,44,43
2020-03-30,10000043,33470,165906609.27,150751002.82,174300000,23,22
2020-03-30,10000043,33472,474150000,444800000,500000000,6,6
2020-03-30,10000043,33474,1317847.7,1047000,1395500,94,67
2020-03-30,10000043,33475,7794000,6172000,7799000,211,119
2020-03-30,10000043,33513,113540000,93400000,127000000,5,4
2020-03-30,10000043,33519,30000000,30000000,30000000,3,3
2020-03-30,10000043,33520,12884000,12870000,12900000,5,5
2020-03-30,10000043,33539,520100,454600,577800,283,10
2020-03-30,10000043,33569,2.5,2.5,2.5,3707,5
2020-03-30,10000043,33572,250,250,250,699,5
2020-03-30,10000043,33573,280,280,280,500,3
2020-03-30,10000043,33577,429900,429900,429900,1607,13
2020-03-30,10000043,33591,1177075,431200,2420000,8,3
2020-03-30,10000043,33605,10000000,10000000,10000000,55,1
2020-03-30,10000043,33618,53426451.61,51580000,57980000,31,22
2020-03-30,10000043,33619,124500000,124500000,124500000,1,1
2020-03-30,10000043,33671,350000,350000,350000,2,1
2020-03-30,10000043,33681,153921739.12,151500000,160300000,46,17
2020-03-30,10000043,33697,31448235.29,17840000,35870000,17,16
2020-03-30,10000043,33699,142857.14,125000,250000,7,7
2020-03-30,10000043,33700,48360000,48000000,48450000,10,9
2020-03-30,10000043,33702,305801377.19,282002755.13,353350000,6,6
2020-03-30,10000043,33704,647916.9,1251,850000,21,8
2020-03-30,10000043,33706,64047.62,50000,65000,21,5
2020-03-30,10000043,33710,3196000,3196000,3196000,6,2
